Rk,Player,Name,Tag,Season,Age,Tm,Lg,PTS,TS%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
1,Michael Jordan\jordami01,Michael Jordan,jordami01,1987-88,24,CHI,NBA,35,0.603,21.2,82,82,3311,1069,1998,1062,1945,7,53,723,860,139,310,449,485,259,131,252,270,2868,0.535,0.546,0.132,0.537,0.841
2,Oscar Robertson\roberos01,Oscar Robertson,roberos01,1963-64,25,CIN,NBA,31.4,0.576,20.6,79,,3559,840,1740,840,1740,,,800,938,,,783,868,,,,280,2480,0.483,0.483,,0.483,0.853
3,Michael Jordan\jordami01,Michael Jordan,jordami01,1995-96,32,CHI,NBA,30.4,0.582,20.4,82,82,3090,916,1850,805,1590,111,260,548,657,148,395,543,352,180,42,197,195,2491,0.495,0.506,0.427,0.525,0.834
4,Michael Jordan\jordami01,Michael Jordan,jordami01,1990-91,27,CHI,NBA,31.5,0.605,20.3,82,82,3034,990,1837,961,1744,29,93,571,671,118,374,492,453,223,83,202,229,2580,0.539,0.551,0.312,0.547,0.851
5,Michael Jordan\jordami01,Michael Jordan,jordami01,1988-89,25,CHI,NBA,32.5,0.614,19.8,81,81,3255,966,1795,939,1697,27,98,674,793,149,503,652,650,234,65,290,247,2633,0.538,0.553,0.276,0.546,0.85
6,Michael Jordan\jordami01,Michael Jordan,jordami01,1989-90,26,CHI,NBA,33.6,0.606,19,82,82,3197,1034,1964,942,1719,92,245,593,699,143,422,565,519,227,54,247,241,2753,0.526,0.548,0.376,0.55,0.848
7,Michael Jordan\jordami01,Michael Jordan,jordami01,1996-97,33,CHI,NBA,29.6,0.567,18.3,82,82,3106,920,1892,809,1595,111,297,480,576,113,369,482,352,140,44,166,156,2431,0.486,0.507,0.374,0.516,0.833
8,Chris Paul\paulch01,Chris Paul,paulch01,2008-09,23,NOH,NBA,22.8,0.599,18.3,78,78,3002,631,1255,567,1079,64,176,455,524,69,363,432,861,216,10,231,212,1781,0.503,0.525,0.364,0.528,0.868
9,Stephen Curry\curryst01,Stephen Curry,curryst01,2015-16,27,GSW,NBA,30.1,0.669,17.9,79,79,2700,805,1598,403,712,402,886,363,400,68,362,430,527,169,15,262,161,2375,0.504,0.566,0.454,0.63,0.908
10,Michael Jordan\jordami01,Michael Jordan,jordami01,1991-92,28,CHI,NBA,30.1,0.579,17.7,80,80,3102,943,1818,916,1718,27,100,491,590,91,420,511,489,182,75,200,201,2404,0.519,0.533,0.27,0.526,0.832
11,Oscar Robertson\roberos01,Oscar Robertson,roberos01,1966-67,28,CIN,NBA,30.5,0.583,17.4,79,,3468,838,1699,838,1699,,,736,843,,,486,845,,,,226,2412,0.493,0.493,,0.493,0.873
12,Michael Jordan\jordami01,Michael Jordan,jordami01,1992-93,29,CHI,NBA,32.6,0.564,17.2,78,78,3067,992,2003,911,1773,81,230,476,569,135,387,522,428,221,61,207,188,2541,0.495,0.514,0.352,0.515,0.837
