Rk,Player,Name,Tag,Season,Age,Tm,Lg,PTS,TS%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
1,Michael Jordan\jordami01,Michael Jordan,jordami01,1987-88,24,CHI,NBA,43.6,0.603,21.2,82,82,3311,1069,1998,1062,1945,7,53,723,860,139,310,449,485,259,131,252,270,2868,0.535,0.546,0.132,0.537,0.841
2,Michael Jordan\jordami01,Michael Jordan,jordami01,1995-96,32,CHI,NBA,42.5,0.582,20.4,82,82,3090,916,1850,805,1590,111,260,548,657,148,395,543,352,180,42,197,195,2491,0.495,0.506,0.427,0.525,0.834
3,Michael Jordan\jordami01,Michael Jordan,jordami01,1990-91,27,CHI,NBA,42.7,0.605,20.3,82,82,3034,990,1837,961,1744,29,93,571,671,118,374,492,453,223,83,202,229,2580,0.539,0.551,0.312,0.547,0.851
4,Michael Jordan\jordami01,Michael Jordan,jordami01,1988-89,25,CHI,NBA,40,0.614,19.8,81,81,3255,966,1795,939,1697,27,98,674,793,149,503,652,650,234,65,290,247,2633,0.538,0.553,0.276,0.546,0.85
5,Michael Jordan\jordami01,Michael Jordan,jordami01,1989-90,26,CHI,NBA,42.7,0.606,19,82,82,3197,1034,1964,942,1719,92,245,593,699,143,422,565,519,227,54,247,241,2753,0.526,0.548,0.376,0.55,0.848
6,Michael Jordan\jordami01,Michael Jordan,jordami01,1996-97,33,CHI,NBA,41.8,0.567,18.3,82,82,3106,920,1892,809,1595,111,297,480,576,113,369,482,352,140,44,166,156,2431,0.486,0.507,0.374,0.516,0.833
7,Chris Paul\paulch01,Chris Paul,paulch01,2008-09,23,NOH,NBA,32.4,0.599,18.3,78,78,3002,631,1255,567,1079,64,176,455,524,69,363,432,861,216,10,231,212,1781,0.503,0.525,0.364,0.528,0.868
8,Stephen Curry\curryst01,Stephen Curry,curryst01,2015-16,27,GSW,NBA,42.5,0.669,17.9,79,79,2700,805,1598,403,712,402,886,363,400,68,362,430,527,169,15,262,161,2375,0.504,0.566,0.454,0.63,0.908
9,Michael Jordan\jordami01,Michael Jordan,jordami01,1991-92,28,CHI,NBA,39.4,0.579,17.7,80,80,3102,943,1818,916,1718,27,100,491,590,91,420,511,489,182,75,200,201,2404,0.519,0.533,0.27,0.526,0.832
10,Michael Jordan\jordami01,Michael Jordan,jordami01,1992-93,29,CHI,NBA,43,0.564,17.2,78,78,3067,992,2003,911,1773,81,230,476,569,135,387,522,428,221,61,207,188,2541,0.495,0.514,0.352,0.515,0.837
11,Michael Jordan\jordami01,Michael Jordan,jordami01,1986-87,23,CHI,NBA,46.4,0.562,16.9,82,82,3281,1098,2279,1086,2213,12,66,833,972,166,264,430,377,236,125,272,237,3041,0.482,0.491,0.182,0.484,0.857
12,James Harden\hardeja01,James Harden,hardeja01,2014-15,25,HOU,NBA,37,0.605,16.4,81,81,2981,647,1470,439,915,208,555,715,824,75,384,459,565,154,60,321,208,2217,0.44,0.48,0.375,0.511,0.868
13,Magic Johnson\johnsma02,Magic Johnson,johnsma02,1986-87,27,LAL,NBA,31.1,0.602,15.9,80,80,2904,683,1308,675,1269,8,39,535,631,122,382,504,977,138,36,300,168,1909,0.522,0.532,0.205,0.525,0.848
14,Stephen Curry\curryst01,Stephen Curry,curryst01,2014-15,26,GSW,NBA,35.5,0.638,15.7,80,80,2613,653,1341,367,695,286,646,308,337,56,285,341,619,163,16,249,158,1900,0.487,0.528,0.443,0.594,0.914
15,Kobe Bryant\bryanko01,Kobe Bryant,bryanko01,2005-06,27,LAL,NBA,45.6,0.559,15.3,80,80,3277,978,2173,798,1655,180,518,696,819,71,354,425,360,147,30,250,233,2832,0.45,0.482,0.347,0.491,0.85
16,James Harden\hardeja01,James Harden,hardeja01,2016-17,27,HOU,NBA,38.4,0.613,15,81,81,2947,674,1533,412,777,262,756,746,881,95,564,659,907,121,38,464,215,2356,0.44,0.53,0.347,0.525,0.847
