Rk,Player,Name,Tag,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2011-12,19,CLE,NBA,PG,51,51,1558,11.8,25.2,0.469,2.5,6.2,0.399,9.3,19,0.491,5.8,6.6,0.872,1.5,5,6.4,9.3,1.8,0.7,5.4,3.7,31.8,109,110,21.4,0.566,0.245,0.262,3.1,11.2,7,36.5,1.8,1,16.1,28.7,3.4,0.6,4.1,0.125,4.9,-1.7,3.3,2.1
2,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2012-13,20,CLE,NBA,PG,59,59,2048,12.3,27.2,0.452,2.8,7.1,0.391,9.5,20.1,0.474,6.3,7.4,0.855,0.9,4.6,5.5,8.9,2.3,0.5,4.9,3.7,33.7,108,110,21.4,0.553,0.261,0.271,1.8,10.8,6.1,32.7,2.3,0.8,13.8,30.2,4.2,1.1,5.3,0.125,4.9,-1.6,3.3,2.8
3,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2013-14,21,CLE,NBA,PG,71,71,2496,11,25.6,0.43,2.5,7.1,0.358,8.4,18.4,0.458,6,7,0.861,1.1,4.3,5.4,8.9,2.2,0.5,3.9,3.4,30.5,109,108,20.1,0.533,0.278,0.273,2.3,9.5,5.8,31.6,2.2,0.8,12.1,28.2,4.6,2.1,6.7,0.128,4.1,-0.9,3.2,3.3
4,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2014-15,22,CLE,NBA,PG,75,75,2730,11,23.5,0.468,3,7.2,0.415,8,16.3,0.491,6,7,0.863,1,3.5,4.5,7.4,2.2,0.4,3.5,2.8,31,117,108,21.5,0.583,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,8.4,2,10.4,0.183,4.7,-1.4,3.3,3.7
5,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2015-16,23,CLE,NBA,PG,53,53,1667,12.2,27.1,0.448,2.6,8.1,0.321,9.6,19,0.502,5.2,5.9,0.885,1.4,3.5,4.8,7.7,1.7,0.6,3.8,3.3,32.1,109,106,19.9,0.54,0.298,0.217,3,7.6,5.3,26.6,1.7,0.9,11.4,29.5,3.2,1.7,5,0.143,3,-1.4,1.6,1.5
6,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2016-17,24,CLE,NBA,PG,72,72,2525,13.3,28.1,0.473,3.5,8.7,0.401,9.8,19.4,0.505,5.9,6.5,0.905,1,3.5,4.5,8.3,1.6,0.5,3.6,3.1,35.9,116,112,23,0.58,0.311,0.231,2.3,7.5,5,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.8,-2.3,2.5,2.9
7,Isaiah Thomas\thomais02,Isaiah Thomas,thomais02,2011-12,22,SAC,NBA,PG,65,37,1656,7.8,17.5,0.448,2.5,6.7,0.379,5.3,10.8,0.491,4.7,5.7,0.832,1.5,3.7,5.1,8.1,1.6,0.2,3.2,3.7,22.9,116,113,17.6,0.574,0.384,0.324,3,8.4,5.6,25.6,1.6,0.4,13.9,19.8,4.2,0,4.3,0.124,3.2,-2.7,0.5,1.1
8,Isaiah Thomas\thomais02,Isaiah Thomas,thomais02,2012-13,23,SAC,NBA,PG,79,62,2122,8.8,20.1,0.44,2.8,7.8,0.358,6.1,12.3,0.491,6.1,6.9,0.882,0.7,3.2,3.9,7.6,1.6,0.1,3.4,4,26.6,115,115,17.5,0.574,0.386,0.345,1.5,7.3,4.4,24.6,1.6,0.1,12.7,23,5.2,-0.1,5,0.114,3.5,-3.7,-0.2,1
9,Isaiah Thomas\thomais02,Isaiah Thomas,thomais02,2013-14,24,SAC,NBA,PG,72,54,2497,10.1,22.3,0.453,2.6,7.4,0.349,7.5,14.9,0.504,7,8.3,0.85,1,3.3,4.3,9.2,1.9,0.2,4.3,3.8,29.8,114,111,20.5,0.574,0.332,0.371,2.1,7.5,4.7,32.2,1.9,0.3,14.3,26.3,6.4,1.3,7.7,0.149,5,-2.1,2.9,3.1
10,Isaiah Thomas\thomais02,Isaiah Thomas,thomais02,2014-15,25,TOT,NBA,PG,67,1,1726,9.7,23.1,0.42,3.7,10,0.373,6,13,0.457,8.7,10.1,0.868,1,3.5,4.4,8.2,1.6,0.1,4.1,4.3,31.8,114,109,20.6,0.579,0.434,0.437,2.1,7.7,4.9,27.2,1.6,0.2,13.1,27.8,5,1.1,6.1,0.169,4.6,-2.8,1.8,1.6
